Ref,Val,Package,PosX,PosY,Rot,Side
"C33","0.1uF","C_0402_1005Metric",38.000000,37.000000,90.000000,top
"C34","1uF","C_0402_1005Metric",17.810000,43.083800,-90.000000,top
"C35","0.1uF","C_0402_1005Metric",15.494800,44.724400,180.000000,top
"C36","0.47uF","C_0603_1608Metric",19.200000,44.000000,-90.000000,top
"C37","0.1uF","C_0402_1005Metric",15.494800,47.772400,180.000000,top
"C38","10uF","C_0603_1608Metric",42.050000,36.900000,180.000000,top
"C39","10uF","C_0603_1608Metric",48.496892,37.541169,90.000000,top
"C40","0.47uF","C_0603_1608Metric",40.844892,35.156169,180.000000,top
"C41","1uF","C_0402_1005Metric",49.750000,37.000000,-90.000000,top
"C42","0.1uF","C_0402_1005Metric",17.312400,51.573300,90.000000,top
"C43","2.2uF","C_0603_1608Metric",40.844892,30.584169,180.000000,top
"C44","0.1uF","C_0402_1005Metric",19.598400,50.811300,0.000000,top
"C45","0.1uF","C_0402_1005Metric",21.859000,51.573300,-90.000000,top
"C46","0.22uF","C_0603_1608Metric",49.861892,34.267169,90.000000,top
"C47","0.1uF","C_0402_1005Metric",21.880400,54.599700,90.000000,top
"C48","0.22uF","C_0603_1608Metric",49.861892,31.219169,90.000000,top
"C49","0.1uF","C_0402_1005Metric",21.900000,56.480000,90.000000,top
"C50","0.1uF","C_0402_1005Metric",24.678400,42.554931,-90.000000,top
"C51","0.1uF","C_0402_1005Metric",44.300000,28.400000,90.000000,top
"C52","22uF","C_0603_1608Metric",45.543892,28.077131,90.000000,top
"C53","0.1uF","C_0402_1005Metric",26.202400,45.527131,-90.000000,top
"C54","0.1uF","C_0402_1005Metric",26.200000,43.620000,-90.000000,top
"C55","22uF","C_0603_1608Metric",47.250000,28.077131,90.000000,top
"C61","10uF","C_0603_1608Metric",38.174600,50.704400,90.000000,top
"C62","22nF","C_0402_1005Metric",56.750000,65.900000,90.000000,top
"C63","1.5nF","C_0402_1005Metric",60.000000,61.800000,180.000000,top
